age	gender	daily.views
12	Female	87.3
60	Female	118
71	Male	58.3
70	Male	40
18	Male	38
52	Female	738.5
69	Female	140.9
27	Male	260.1
30	Female	104.1
15	Female	0.8
40	Male	31.6
73	Male	151.9
50	Female	541.3
49	Male	755.8
55	Male	160.6
70	Male	312.2
67	Male	92.2
76	Female	8.7
66	Male	8.7
40	Female	62.4
51	Female	157.5
22	Male	0.1
59	Female	69.8
42	Male	33
38	Female	56.8
48	Male	8.1
18	Male	18.6
17	Female	45
12	Female	92.7
69	Male	218.7
69	Female	4.5
82	Male	66
62	Female	197.5
77	Male	60.8
74	Female	9.6
48	Female	1343.9
34	Female	95.9
68	Female	164.1
53	Female	75.7
42	Male	56.5
53	Female	48.4
32	Female	36.8
49	Female	121.5
50	Male	0.2
25	Male	1.4
61	Female	299.5
57	Female	220.8
55	Male	19.4
27	Female	85.7
54	Female	200.7
68	Female	42.2
68	Female	330.9
54	Male	49.8
61	Female	72.1
31	Female	165.6
66	Male	79.8
51	Female	191.7
55	Male	49.3
16	Female	22.4
13	Female	46.1
51	Female	258.4
55	Male	234.7
60	Male	58.2
56	Male	384.7
55	Male	120.9
59	Female	117.7
36	Female	317.5
41	Male	222.7
34	Female	498.2
61	Female	21.2
62	Male	1.2
52	Female	437.6
52	Male	10.8
75	Female	1
75	Male	33.7
38	Female	5
13	Female	23.7
10	Female	8.9
74	Male	27.6
50	Female	65.6
30	Female	24.2
12	Female	9.6
9	Male	9.4
54	Female	162.4
63	Male	61.2
30	Female	47.9
63	Female	48.3
53	Male	36.2
43	Female	34.5
14	Female	15.5
13	Female	24.8
53	Female	73.6
51	Female	139
45	Female	178.9
53	Female	142.6
53	Male	229.6
62	Male	277.7
36	Male	141.3
61	Female	80.8
54	Male	47
54	Female	591.9
55	Male	177.5
30	Female	194.1
53	Male	523.5
58	Female	44.2
25	Female	178.6
38	Male	191.1
39	Female	4.7
10	Female	1.8
52	Female	65.8
47	Female	177.7
59	Female	116.5
37	Female	968.1
14	Female	190
11	Male	1.1
46	Female	161.4
48	Female	105.1
46	Male	2.3
14	Female	44.4
11	Female	1.9
65	Female	27.1
58	Female	36.7
34	Female	51.2
41	Male	2.3
3	Female	4.6
61	Female	340.2
59	Male	4.2
49	Male	49.8
61	Female	222.2
41	Male	178.6
73	Male	110.7
69	Female	557
52	Female	10
39	Female	144.1
57	Male	35.9
20	Male	10.9
18	Male	108.4
16	Male	10.3
15	Female	12.8
57	Female	209.9
42	Female	109.7
44	Male	48.9
80	Male	10.5
40	Male	213.8
63	Male	221.1
45	Male	192
67	Female	110.1
55	Male	7.6
26	Male	15.4
24	Male	8.9
17	Male	1.4
16	Female	2.9
54	Female	90.4
38	Female	176.5
46	Male	51
18	Female	67.1
16	Male	67.8
18	Female	5.4
78	Male	35.2
46	Female	7.5
51	Male	0.3
22	Male	0.5
65	Female	333.4
63	Female	84.5
56	Female	86.8
63	Male	0.6
23	Female	1.4
73	Male	67.2
59	Female	973.2
20	Female	376.8
38	Female	115.5
44	Female	261.4
31	Female	414.5
74	Female	120.5
48	Female	8.6
55	Male	4.4
24	Female	152.9
64	Female	46.9
46	Male	459
40	Female	26.6
63	Female	81.2
69	Male	3
39	Female	73.4
35	Male	40.4
47	Female	172.7
47	Male	85
59	Female	23.6
72	Male	10.5
38	Female	105.2
41	Female	376
40	Male	53.8
13	Male	50.7
11	Female	31
10	Female	7.3
40	Female	171.1
76	Male	86.5
49	Female	160
39	Female	207.6
78	Female	13.2
43	Female	119.6
46	Female	52.7
36	Female	357.2
50	Female	2168.1
33	Female	41.9
31	Male	148.7
6	Male	18.5
34	Female	156.2
11	Male	38.9
8	Female	5.3
34	Male	86.3
58	Female	6.6
57	Female	281.9
25	Female	133
35	Male	20.7
31	Male	40.1
55	Male	25.7
31	Male	1.4
35	Female	3.5
73	Female	71.4
48	Female	45.6
29	Female	439.3
71	Female	99.4
73	Female	99.8
80	Male	7.8
60	Female	659.1
29	Female	31.1
60	Male	63.2
51	Female	9.9
32	Female	228.1
33	Male	79.4
13	Female	0.5
26	Female	38.8
6	Female	1.2
43	Female	52.7
57	Female	4.6
62	Female	41.2
34	Female	96.4
45	Female	70.7
44	Male	1.6
32	Female	264.2
42	Male	42
26	Female	65.1
